----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          Observed  |            Ritz    |  Rel. |    Aki    | Acc. |        Ei           Ek        |              Lower level              |              Upper level               |Type|                  TP  |   Line  |
         Wavelength |         Wavelength |  Int. |    s^-1   |      |      (cm-1)       (cm-1)      |---------------------------------------|----------------------------------------|    |                 Ref. |   Ref.  |
          Air  (Å)  |          Air  (Å)  |  (?)  |           |      |                               | Conf.                 | Term    | J   | Conf.                  | Term    | J   |    |                      |         |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                    |                    |       |           |      |                               |                       |         |     |                        |         |     |    |                      |         |
           3200.37  |                    |     8 |           |      |                               |                       |         |     |                        |         |     |    |                      |  L2131  |
           3319.34  |                    |     7 |           |      |                               |                       |         |     |                        |         |     |    |                      |  L3512  |
           3373.47  |                    |     7 |           |      |                               |                       |         |     |                        |         |     |    |                      |  L3512  |
           3393.73  |                    |     7 |           |      |                               |                       |         |     |                        |         |     |    |                      |  L3512  |
                    |           3406.180 |       | 3.9e+05   | D    |  95399.8276   -  124749.805   | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 1   | 3s2.3p5.(2P*<1/2>).7p  | 2[1/2]  | 0   |    |               T1086n |         |
                    |                    |       |           |      |                               |                       |         |     |                        |         |     |    |                      |         |
           3461.07  |           3461.078 |     7 | 6.7e+04   | D    |  93750.5978   -  122635.054   | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 1   | 3s2.3p5.(2P*<1/2>).6p  | 2[3/2]  | 2   |    |               T1086n |  L3512  |
           3554.306 |           3554.305 |     7 | 2.7e+05   | D    |  93143.7600   -  121270.617   | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 2   | 3s2.3p5.(2P*<3/2>).6p  | 2[3/2]  | 2   |    |               T1086n |  L2634  |
                    |           3563.286 |       | 1.2e+05   | D    |  94553.6652   -  122609.637   | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 0   | 3s2.3p5.(2P*<1/2>).6p  | 2[3/2]  | 1   |    |               T1086n |         |
                    |           3567.656 |       | 1.1e+05   | D    |  93143.7600   -  121165.367   | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 2   | 3s2.3p5.(2P*<3/2>).6p  | 2[5/2]  | 3   |    |               T1086n |         |
                    |           3572.295 |       | 5.1e+05   | D    |  95399.8276   -  123385.044   | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 1   | 3s2.3p5.(2P*<3/2>).7p  | 2[1/2]  | 0   |    |               T1086n |         |
                    |                    |       |           |      |                               |                       |         |     |                        |         |     |    |                      |         |
           3606.522 |           3606.522 |     7 | 7.6e+05   | D    |  93750.5978   -  121470.238   | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 1   | 3s2.3p5.(2P*<3/2>).6p  | 2[1/2]  | 0   |    |               T1086n |  L2634  |
                    |           3632.683 |       | 6.6e+04   | D    |  93750.5978   -  121270.617   | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 1   | 3s2.3p5.(2P*<3/2>).6p  | 2[3/2]  | 2   |    |               T1086n |         |
