-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          Observed  |            Ritz    |      Rel. |    Aki    | Acc. |       Ei           Ek       |                Lower level                |                Upper level                 |Type|    TP  |    Line  |
         Wavelength |         Wavelength |      Int. |    s^-1   |      |     (cm-1)       (cm-1)     |-------------------------------------------|--------------------------------------------|    |   Ref. |    Ref.  |
          Air  (Å)  |          Air  (Å)  |      (?)  |           |      |                             | Conf.     | Term                   | J    | Conf.     | Term                    | J    |    |        |          |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          3201.385  |          3201.3869 |      2500 | 1.0e+07   |      |  95714.406   -  126941.844  | 5d10.7s   | 2S                     | 1/2  | 5d10.8p   | 2P*                     | 1/2  |    |  T7226 |  L11760  |
          3207.709  |                    |       500 |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          3208.169  |          3208.1713 |    120000 | 8.2e+07   |      | 108975.732   -  140137.134  | 5d9.6s.6p | (2D<5/2>,1P<1>)*       | 5/2  | 5d9.6s.7s | [(2D<5/2>,1/2)<2>,1/2]  | 5/2  |    |  T7226 |  L11760  |
          3227.813  |                    |      150h |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          3252.076  |          3252.0733 |       450 | 2.5e+06   |      | 111971.464   -  142712.211  | 5d10.7p   | 2P*                    | 3/2  | 5d10.10d  | 2D                      | 5/2  |    |  T7226 |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          3252.916  |                    |       100 |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          3256.018  |                    |       80h |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          3257.501  |          3257.4985 |      900h | 1.0e+07   |      | 103873.302   -  134562.854  | 5d9.6s.6p | (2D<3/2>,3P<1>)*       | 1/2  | 5d10.8d   | 2D                      | 3/2  |    |  T7226 |  L11760  |
          3261.552  |          3261.5628 |        3G | 6.5e+04   |      | 108975.732   -  139627.043  | 5d9.6s.6p | (2D<5/2>,1P<1>)*       | 5/2  | 5d10.9d   | 2D                      | 3/2  |    |  T7226 |  L11760  |
          3264.039  |          3264.0340 |     60000 | 2.3e+07   |      | 106086.013   -  136714.118  | 5d9.6s.6p | (2D<5/2>,1P<1>)*       | 3/2  | 5d9.6s.7s | [(2D<5/2>,1/2)<3>,1/2]  | 5/2  |    |  T7226 |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          3264.552  |          3264.5577 |      100l | 1.4e+06   |      | 108298.183   -  138921.375  | 5d10.7p   | 2P*                    | 1/2  | 5d9.6s.7s | [(2D<5/2>,1/2)<2>,1/2]  | 3/2  |    |  T7226 |  L11760  |
          3277.846  |          3277.8451 |     10000 | 1.8e+07   |      | 106215.059   -  136714.118  | 5d9.6s.6p | (2D<5/2>,1P<1>)*       | 7/2  | 5d9.6s.7s | [(2D<5/2>,1/2)<3>,1/2]  | 5/2  |    |  T7226 |  L11760  |
