---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
           Observed  |             Ritz    |   Rel. |    Aki    | Acc. |        Ei           Ek        |              Lower level              |              Upper level               |Type|        TP  |   Line  |
          Wavelength |          Wavelength |   Int. |    s^-1   |      |      (cm-1)       (cm-1)      |---------------------------------------|----------------------------------------|    |       Ref. |   Ref.  |
           Air  (Å)  |           Air  (Å)  |   (?)  |           |      |                               | Conf.                 | Term    | J   | Conf.                  | Term    | J   |    |            |         |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                     |                     |        |           |      |                               |                       |         |     |                        |         |     |    |            |         |
           3206.199  |           3206.2205+|     10 |           |      | 135888.7173   -  167069.0791  | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1   | 2s2.2p5.(2P*<3/2>).4f  | 2[5/2]  | 2   |    |            |  L3469  |
           3207.906  |           3207.9117+|   100* |           |      | 135888.7173   -  167052.6415  | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1   | 2s2.2p5.(2P*<3/2>).4f  | 2[3/2]  | 1   |    |            |  L3469  |
           3207.906  |           3207.9092+|   100* |           |      | 135888.7173   -  167052.6654  | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1   | 2s2.2p5.(2P*<3/2>).4f  | 2[3/2]  | 2   |    |            |  L3469  |
           3351.7495 |           3351.7486 |    250 |           |      | 134459.2871   -  164285.8872  | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 1   | 2s2.2p5.(2P*<1/2>).4p  | 2[1/2]  | 0   |    |            |  L4498  |
           3369.8076 |           3369.8076 |   5000 |           |      | 134041.8400   -  163708.6029  | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2   | 2s2.2p5.(2P*<1/2>).4p  | 2[3/2]  | 2   |    |            |  L3451  |
                     |                     |        |           |      |                               |                       |         |     |                        |         |     |    |            |         |
           3369.9069 |           3369.9072 |   7000 |           |      | 134041.8400   -  163707.7261  | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2   | 2s2.2p5.(2P*<1/2>).4p  | 2[1/2]  | 1   |    |            |  L3451  |
           3375.6489 |           3375.6484 |    500 |           |      | 134041.8400   -  163657.2726  | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2   | 2s2.2p5.(2P*<1/2>).4p  | 2[3/2]  | 1   |    |            |  L3451  |
           3417.9031 |           3417.9031 |   5000 |           |      | 134459.2871   -  163708.6029  | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 1   | 2s2.2p5.(2P*<1/2>).4p  | 2[3/2]  | 2   |    |            |  L3451  |
           3418.0052 |           3418.0056 |    500 |           |      | 134459.2871   -  163707.7261  | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 1   | 2s2.2p5.(2P*<1/2>).4p  | 2[1/2]  | 1   |    |            |  L5951  |
           3423.9120 |           3423.9120 |    500 |           |      | 134459.2871   -  163657.2726  | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 1   | 2s2.2p5.(2P*<1/2>).4p  | 2[3/2]  | 1   |    |            |  L3451  |
