--- GHOST SPOTS (Python Only) ---
Fiber,Wavelength,X,Y
125.0,8670.325,1092.3801729352372,2015.2749159765663
126.0,7440.9469,1093.004455135509,59.59043934184638
127.0,9354.8,1102.6158432206512,3171.0582691621885
128.0,8670.325,1114.0589668864993,2013.8452831750096
128.0,7490.9335,1107.6198391485518,135.7134137375183
128.0,9354.8,1109.8653371007306,3170.482997587491
129.0,8670.325,1121.3864534288216,2013.3504685610587
129.0,9354.8,1117.207558057625,3169.912363223541
130.0,9354.8,1124.4580261759743,3169.421034295392
131.0,8670.325,1135.8362004825494,2012.4218429691737
131.0,7440.9469,1129.2208748737457,57.35654230790942
131.0,7490.9335,1129.4577402053105,134.40182776600182
131.0,9354.8,1131.7261455043151,3168.85563864256
132.0,8670.325,1143.156057645766,2011.9686762989695
133.0,9356.787,1146.2334570004107,3171.2440184727893
133.0,7490.9335,1143.9752357842397,133.57643328786685
135.0,7516.721,1158.6867669584399,172.64870301037013
135.0,7490.9335,1158.5714090486413,132.8109735405717
137.0,9354.8,1175.3927905315534,3165.6962248080927
138.0,8670.325,1186.5938121971801,2009.1912807454623
138.0,7490.9335,1180.4581580693464,131.6502948023833
139.0,8670.325,1193.8734365898206,2008.7666989668467
139.0,9356.787,1189.9529042271986,3168.116942552426
140.0,8670.325,1201.0324212633916,2008.317336690393
140.0,9354.8,1197.1665424950459,3164.1457875750343
145.0,8670.325,1237.2863171081276,2006.1348155121916
146.0,8670.325,1244.5471353968258,2005.7262447558633
146.0,7440.9469,1238.3749099565223,51.511004273854724
147.0,8670.325,1251.8118287655957,2005.321085231901
147.0,9354.8,1248.1409957922408,3160.676656730512
148.0,8670.325,1259.021039254578,2004.903908265201
148.0,7490.9335,1253.061689167853,127.74782267208025
149.0,8670.325,1266.2420404450334,2004.492305886058

--- MISSING SPOTS (C++ Only) ---
Fiber,Wavelength,X,Y
128.0,9787.186,1105.5142758696747,3940.960870730259
131.0,9787.186,1127.4363714687765,3939.2691373580233
136.0,9787.186,1163.9450577395728,3936.584326856922
137.0,9787.186,1171.2327551062208,3936.041577658455
140.0,9787.186,1193.0548081911222,3934.4785627192437
145.0,9787.186,1229.582194696562,3931.874994760863
146.0,9787.186,1236.8898982831442,3931.3722319870326
149.0,9787.186,1258.6926145685477,3929.902678775526
143.0,7546.1211,1217.0388165201146,215.2462726330158
137.0,9377.33,1175.1619072329343,3205.2881792483054
132.0,9720.83,1135.3533644971305,3818.586364488418
136.0,9720.83,1164.513209836639,3816.4343820499334
143.0,9720.83,1215.5391246712002,3812.713975930257
