-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                    Observed  |                      Ritz    |    Rel. |     Aki    | Acc. |             Ei           Ek             |     Lower level     |     Upper level     |Type|    TP  |      Line  |
                   Wavelength |                   Wavelength |    Int. |     s^-1   |      |           (cm-1)       (cm-1)           |---------------------|---------------------|    |   Ref. |      Ref.  |
                    Air  (Å)  |                    Air  (Å)  |    (?)  |            |      |                                         | Conf.  | Term | J   | Conf.  | Term | J   |    |        |            |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                              |                              |         |            |      |                                         |        |      |     |        |      |     |    |        |            |
                              |                3655.1234     |         | 6.7464e+01 | AAA  | 82259.158          - [109610.2232]      | 2      |      |     | 40     |      |     |    |  T8637 |            |
                              |                3655.5993     |         | 7.6576e+01 | AAA  | 82259.158          - [109606.6628]      | 2      |      |     | 39     |      |     |    |  T8637 |            |
                              |                3656.1134     |         | 8.7206e+01 | AAA  | 82259.158          - [109602.8177]      | 2      |      |     | 38     |      |     |    |  T8637 |            |
                3656.65       |                3656.6698     |     700 | 9.9657e+01 | AAA  | 82259.158          - [109598.6566]      | 2      |      |     | 37     |      |     |    |  T8637 |  L7400c29  |
                3657.25       |                3657.2735     |     700 | 1.1430e+02 | AAA  | 82259.158          - [109594.1439]      | 2      |      |     | 36     |      |     |    |  T8637 |  L7400c29  |
                              |                              |         |            |      |                                         |        |      |     |        |      |     |    |        |            |
                3658.04       |                3657.9299     |   700bl | 1.3161e+02 | AAA  | 82259.158          - [109589.2390]      | 2      |      |     | 35     |      |     |    |  T8637 |  L7400c29  |
                3658.65       |                3658.6453     |     700 | 1.5216e+02 | AAA  | 82259.158          - [109583.8949]      | 2      |      |     | 34     |      |     |    |  T8637 |  L7400c29  |
                3659.41       |                3659.4271     |     700 | 1.7669e+02 | AAA  | 82259.158          - [109578.0577]      | 2      |      |     | 33     |      |     |    |  T8637 |  L7400c29  |
                3660.32       |                3660.2836     |   700bl | 2.0612e+02 | AAA  | 82259.158          - [109571.6647]      | 2      |      |     | 32     |      |     |    |  T8637 |  L7400c29  |
                3661.27       |                3661.2250     |     800 | 2.4162e+02 | AAA  | 82259.158          - [109564.6431]      | 2      |      |     | 31     |      |     |    |  T8637 |  L7400c29  |
                              |                              |         |            |      |                                         |        |      |     |        |      |     |    |        |            |
                3662.22       |                3662.2624     |  1100bl | 2.8474e+02 | AAA  | 82259.158          - [109556.9077]      | 2      |      |     | 30     |      |     |    |  T8637 |  L7400c29  |
                3663.41       |                3663.4099     |   900bl | 3.3742e+02 | AAA  | 82259.158          - [109548.3584]      | 2      |      |     | 29     |      |     |    |  T8637 |  L7400c29  |
                3664.65       |                3664.6831     |  1000bl | 4.0224e+02 | AAA  | 82259.158          - [109538.8768]      | 2      |      |     | 28     |      |     |    |  T8637 |  L7400c29  |
                3666.08       |                3666.1016     |     900 | 4.8261e+02 | AAA  | 82259.158          - [109528.3223]      | 2      |      |     | 27     |      |     |    |  T8637 |  L7400c29  |
                3667.73       |                3667.6881     |    1000 | 5.8304e+02 | AAA  | 82259.158          - [109516.5267]      | 2      |      |     | 26     |      |     |    |  T8637 |  L7400c29  |
